,I,WD_A,WD_IM,S,V_A,V_IM,Le_Areg,Le_A,SW,SRD_IM,SRD_A,EDU,OI_Int,OI_A,DA,Undecided
I,LR,,,,,,,,,,,,,,,
WD_A,R,LR,,,,,,,,,,,,,,
WD_IM,R,LR,LR,,,,,,,,,,,,,
S,R,LC,C,LR,,,,,,,,,,,,
V_A,R,LR,C,R,LR,,,,,,,,,,,
V_IM,R,R,LR,U,LR,LR,,,,,,,,,,
Le_Areg,R,U,U,U,U,U,LR,,,,,,,,,
Le_A,R,U,R,R,LR,U,LR,LR,,,,,,,,
SW,R,LR,C,LR,LR,LR,C,C,LR,,,,,,,
SRD_IM,R,R,LR,LR,R,U,U,U,X,LR,,,,,,
SRD_A,R,X,C,C,U,C,U,X,C,LR,LR,,,,,
EDU,U,U,U,U,U,U,U,U,U,U,U,LR,,,,
OI_Int,U,U,U,U,U,U,U,U,U,U,U,U,LR,,,
OI_A,U,U,U,U,U,U,U,U,U,U,U,U,LR,LR,,
DA,U,U,U,U,U,U,U,U,U,U,U,U,U,U,LR,
Undecided,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U
