,UkjentDag,Arbeidsdag_SØ,Sykedag_SØ,ForeldetSykedag,Feriedag_SØ,Permisjonsdag_SØ,SykHelgedag_SØ,Arbeidsgiverdag_SØ,Studiedag,AnnenInntekt_SØ,Utenlandsdag,UbestemtDag
UkjentDag,L,,,,,,,,,,,
Arbeidsdag_SØ,R,L,,,,,,,,,,
Sykedag_SØ,R,C,L,,,,,,,,,
ForeldetSykedag,R,C,R,L,,,,,,,,
Feriedag_SØ,R,R,R,R,L,,,,,,,
Permisjonsdag_SØ,R,U,R,R,U,L,,,,,,
SykHelgedag_SØ,R,C,R,R,C,C,L,,,,,
Arbeidsgiverdag_SØ,R,L,C,C,U,L,C,L,,,,
Studiedag,U,U,U,U,U,U,U,U,L,,,
AnnenInntekt_SØ,U,U,U,U,U,U,U,U,U,L,,
Utenlandsdag,U,U,U,U,U,U,U,U,U,U,U,
UbestemtDag,U,U,U,U,U,U,U,U,U,U,U,U
